condition,seed,checkpoint_episode,role,source,copied_to,archive,member,bytes,manifest_bytes,size_match,crc32,sha256,loads_ok,internal_episode_count,episode_count_match,gamma,model_state_keys,target_state_keys,architecture_signature,parameter_tensor_elements,support_shape,scaler_mean_shape,scaler_scale_shape,optimizer_state_entries,optimizer_param_groups,role_architecture_expected,max_model_target_abs_diff
1sen,35,100,attacker,Frozen Senior plus CCTF simulation\1sen_seed35\checkpoints_non_comp\attacker\checkpoint_ep100.pth,senior_junior_results\checkpoints_used_for_eval\1sen\seed35\ep100\attacker_checkpoint_ep100.pth,1Sen_Seed35_evaluated_Checkpoints(1).zip,1Sen_Seed35_evaluated_Checkpoints/attacker_checkpoint_ep100.pth,34911861,34911861,True,51bfa6bb,a6fc134318c1676ad7b7016d250af5ff8baa0ef64fa41a7b60fa85bd74b0af64,True,100,True,0.95,31,31,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,2596458,"(51,)","(567,)","(567,)",22,1,True,4.635473251342773
1sen,35,100,attacker_scout,Frozen Senior plus CCTF simulation\1sen_seed35\checkpoints_non_comp\attacker_scout\checkpoint_ep100.pth,senior_junior_results\checkpoints_used_for_eval\1sen\seed35\ep100\attacker_scout_checkpoint_ep100.pth,1Sen_Seed35_evaluated_Checkpoints(1).zip,1Sen_Seed35_evaluated_Checkpoints/attacker_scout_checkpoint_ep100.pth,34915829,34915829,True,41605618,9cb5ea4decd1d3e36d0f890e0cc46733deb76695ded539996035724016981c18,True,100,True,0.95,31,31,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,2596714,"(51,)","(569,)","(569,)",22,1,True,4.916431427001953
1sen,35,500,attacker,Frozen Senior plus CCTF simulation\1sen_seed35\checkpoints_non_comp\attacker\checkpoint_ep500.pth,senior_junior_results\checkpoints_used_for_eval\1sen\seed35\ep500\attacker_checkpoint_ep500.pth,1Sen_Seed35_evaluated_Checkpoints(1).zip,1Sen_Seed35_evaluated_Checkpoints/attacker_checkpoint_ep500.pth,34911861,34911861,True,5e1851e6,989a6524bd78dd68fc1279c6afca7617a78f84340c4398249d6429f90a993eb8,True,500,True,0.95,31,31,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,2596458,"(51,)","(567,)","(567,)",22,1,True,4.947711944580078
1sen,35,500,attacker_scout,Frozen Senior plus CCTF simulation\1sen_seed35\checkpoints_non_comp\attacker_scout\checkpoint_ep500.pth,senior_junior_results\checkpoints_used_for_eval\1sen\seed35\ep500\attacker_scout_checkpoint_ep500.pth,1Sen_Seed35_evaluated_Checkpoints(1).zip,1Sen_Seed35_evaluated_Checkpoints/attacker_scout_checkpoint_ep500.pth,34915829,34915829,True,260e9fe6,251eb7de9be26d6ec70b46aae7286e6cbe887f6c3dacd9c11784a643fad50fed,True,500,True,0.95,31,31,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,2596714,"(51,)","(569,)","(569,)",22,1,True,5.504167556762695
1sen,35,1000,attacker,Frozen Senior plus CCTF simulation\1sen_seed35\checkpoints_non_comp\attacker\checkpoint_ep1000.pth,senior_junior_results\checkpoints_used_for_eval\1sen\seed35\ep1000\attacker_checkpoint_ep1000.pth,1Sen_Seed35_evaluated_Checkpoints(1).zip,1Sen_Seed35_evaluated_Checkpoints/attacker_checkpoint_ep1000.pth,34911995,34911995,True,fa729113,32e167f17dd189ed87385ad670f5d9b69d1358e1a5cd3bc78b7e229618cf4d66,True,1000,True,0.95,31,31,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,2596458,"(51,)","(567,)","(567,)",22,1,True,4.574663162231445
1sen,35,1000,attacker_scout,Frozen Senior plus CCTF simulation\1sen_seed35\checkpoints_non_comp\attacker_scout\checkpoint_ep1000.pth,senior_junior_results\checkpoints_used_for_eval\1sen\seed35\ep1000\attacker_scout_checkpoint_ep1000.pth,1Sen_Seed35_evaluated_Checkpoints(1).zip,1Sen_Seed35_evaluated_Checkpoints/attacker_scout_checkpoint_ep1000.pth,34915963,34915963,True,05a432eb,b3a4039c1a788a5b1dfc2434ae9c320364e411d20aee785de96c0fb69707c2c3,True,1000,True,0.95,31,31,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,2596714,"(51,)","(569,)","(569,)",22,1,True,4.790773868560791
1sen,35,2000,attacker,Frozen Senior plus CCTF simulation\1sen_seed35\checkpoints_non_comp\attacker\checkpoint_ep2000.pth,senior_junior_results\checkpoints_used_for_eval\1sen\seed35\ep2000\attacker_checkpoint_ep2000.pth,1Sen_Seed35_evaluated_Checkpoints(1).zip,1Sen_Seed35_evaluated_Checkpoints/attacker_checkpoint_ep2000.pth,34911995,34911995,True,3bcca938,45974291e2881ca7b13caf9a076c5ae8365d5e1ff0d92aab86689d18a2da0db4,True,2000,True,0.95,31,31,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,2596458,"(51,)","(567,)","(567,)",22,1,True,4.696189403533936
1sen,35,2000,attacker_scout,Frozen Senior plus CCTF simulation\1sen_seed35\checkpoints_non_comp\attacker_scout\checkpoint_ep2000.pth,senior_junior_results\checkpoints_used_for_eval\1sen\seed35\ep2000\attacker_scout_checkpoint_ep2000.pth,1Sen_Seed35_evaluated_Checkpoints(1).zip,1Sen_Seed35_evaluated_Checkpoints/attacker_scout_checkpoint_ep2000.pth,34915963,34915963,True,958012f4,a04733baa37434f71a461fe56dd1fc4ae451035f868bbd8154c23c1466036c64,True,2000,True,0.95,31,31,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,2596714,"(51,)","(569,)","(569,)",22,1,True,4.642400741577148
1sen,35,5000,attacker,Frozen Senior plus CCTF simulation\1sen_seed35\checkpoints_non_comp\attacker\checkpoint_ep5000.pth,senior_junior_results\checkpoints_used_for_eval\1sen\seed35\ep5000\attacker_checkpoint_ep5000.pth,1Sen_Seed35_evaluated_Checkpoints(1).zip,1Sen_Seed35_evaluated_Checkpoints/attacker_checkpoint_ep5000.pth,34911995,34911995,True,c91647f0,81da22eaa792deafd33190e4eeb87e5ec4bcd043416844747687607fee433ac9,True,5000,True,0.95,31,31,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,2596458,"(51,)","(567,)","(567,)",22,1,True,4.545223236083984
1sen,35,5000,attacker_scout,Frozen Senior plus CCTF simulation\1sen_seed35\checkpoints_non_comp\attacker_scout\checkpoint_ep5000.pth,senior_junior_results\checkpoints_used_for_eval\1sen\seed35\ep5000\attacker_scout_checkpoint_ep5000.pth,1Sen_Seed35_evaluated_Checkpoints(1).zip,1Sen_Seed35_evaluated_Checkpoints/attacker_scout_checkpoint_ep5000.pth,34915963,34915963,True,fd8bac64,6dd020d6004a7d05da1a54acfcc0aee8371d69f037f1f0780961c86d0a614ca6,True,5000,True,0.95,31,31,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,2596714,"(51,)","(569,)","(569,)",22,1,True,4.855247020721436
1sen,36,100,attacker,Frozen Senior plus CCTF simulation\1sen_seed36\checkpoints_non_comp\attacker\checkpoint_ep100.pth,senior_junior_results\checkpoints_used_for_eval\1sen\seed36\ep100\attacker_checkpoint_ep100.pth,1Sen_Seed36_evaluated_Checkpoints(1).zip,1Sen_Seed36_evaluated_Checkpoints/attacker_checkpoint_ep100.pth,34911797,34911797,True,343375dd,2fb1fc45f913e7b687e53f355f3a58b8a757f80cd7f62753545e0d3bec53b115,True,100,True,0.95,31,31,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,2596458,"(51,)","(567,)","(567,)",22,1,True,4.455132484436035
1sen,36,100,attacker_scout,Frozen Senior plus CCTF simulation\1sen_seed36\checkpoints_non_comp\attacker_scout\checkpoint_ep100.pth,senior_junior_results\checkpoints_used_for_eval\1sen\seed36\ep100\attacker_scout_checkpoint_ep100.pth,1Sen_Seed36_evaluated_Checkpoints(1).zip,1Sen_Seed36_evaluated_Checkpoints/attacker_scout_checkpoint_ep100.pth,34915829,34915829,True,fefc0e6c,e664f5db41a98bc61ab969a722dff10c01a6ad93b9c74c4274158a977f887f9f,True,100,True,0.95,31,31,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,2596714,"(51,)","(569,)","(569,)",22,1,True,5.026660919189453
1sen,36,500,attacker,Frozen Senior plus CCTF simulation\1sen_seed36\checkpoints_non_comp\attacker\checkpoint_ep500.pth,senior_junior_results\checkpoints_used_for_eval\1sen\seed36\ep500\attacker_checkpoint_ep500.pth,1Sen_Seed36_evaluated_Checkpoints(1).zip,1Sen_Seed36_evaluated_Checkpoints/attacker_checkpoint_ep500.pth,34911797,34911797,True,2e437f28,072efc5f2ae2bdcaf2c52a559a25268667bb746a2c2a5b6840476036ecead0de,True,500,True,0.95,31,31,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,2596458,"(51,)","(567,)","(567,)",22,1,True,5.546304702758789
1sen,36,500,attacker_scout,Frozen Senior plus CCTF simulation\1sen_seed36\checkpoints_non_comp\attacker_scout\checkpoint_ep500.pth,senior_junior_results\checkpoints_used_for_eval\1sen\seed36\ep500\attacker_scout_checkpoint_ep500.pth,1Sen_Seed36_evaluated_Checkpoints(1).zip,1Sen_Seed36_evaluated_Checkpoints/attacker_scout_checkpoint_ep500.pth,34915829,34915829,True,96350885,e2460771f35cfc04a432f51633034c592258ba00defb88d034df78875b87cf76,True,500,True,0.95,31,31,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,2596714,"(51,)","(569,)","(569,)",22,1,True,5.138077735900879
1sen,36,1000,attacker,Frozen Senior plus CCTF simulation\1sen_seed36\checkpoints_non_comp\attacker\checkpoint_ep1000.pth,senior_junior_results\checkpoints_used_for_eval\1sen\seed36\ep1000\attacker_checkpoint_ep1000.pth,1Sen_Seed36_evaluated_Checkpoints(1).zip,1Sen_Seed36_evaluated_Checkpoints/attacker_checkpoint_ep1000.pth,34911931,34911931,True,59aa9ae5,29d9f440d6a9a9b6076747e5b582c38f3c6d66237ee1ff0a8287287f704a58a9,True,1000,True,0.95,31,31,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,2596458,"(51,)","(567,)","(567,)",22,1,True,4.773068428039551
1sen,36,1000,attacker_scout,Frozen Senior plus CCTF simulation\1sen_seed36\checkpoints_non_comp\attacker_scout\checkpoint_ep1000.pth,senior_junior_results\checkpoints_used_for_eval\1sen\seed36\ep1000\attacker_scout_checkpoint_ep1000.pth,1Sen_Seed36_evaluated_Checkpoints(1).zip,1Sen_Seed36_evaluated_Checkpoints/attacker_scout_checkpoint_ep1000.pth,34915963,34915963,True,8505b20f,0bf6b57a425cb67fc6dd1dc5882f2192f0e89c5e23a4d59e72e36683abbad0fa,True,1000,True,0.95,31,31,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,2596714,"(51,)","(569,)","(569,)",22,1,True,4.570497989654541
1sen,36,2000,attacker,Frozen Senior plus CCTF simulation\1sen_seed36\checkpoints_non_comp\attacker\checkpoint_ep2000.pth,senior_junior_results\checkpoints_used_for_eval\1sen\seed36\ep2000\attacker_checkpoint_ep2000.pth,1Sen_Seed36_evaluated_Checkpoints(1).zip,1Sen_Seed36_evaluated_Checkpoints/attacker_checkpoint_ep2000.pth,34911931,34911931,True,0af78949,2a7cfbc0c161db4e056fa716936bfe64cddda618ee12f040791980c7e60a0d55,True,2000,True,0.95,31,31,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,2596458,"(51,)","(567,)","(567,)",22,1,True,4.540297985076904
1sen,36,2000,attacker_scout,Frozen Senior plus CCTF simulation\1sen_seed36\checkpoints_non_comp\attacker_scout\checkpoint_ep2000.pth,senior_junior_results\checkpoints_used_for_eval\1sen\seed36\ep2000\attacker_scout_checkpoint_ep2000.pth,1Sen_Seed36_evaluated_Checkpoints(1).zip,1Sen_Seed36_evaluated_Checkpoints/attacker_scout_checkpoint_ep2000.pth,34915963,34915963,True,e4671051,c054506c4f183905b860574cfe886239357081433a8fdedc2236d69b8f21cfd6,True,2000,True,0.95,31,31,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,2596714,"(51,)","(569,)","(569,)",22,1,True,5.338171005249023
1sen,36,5000,attacker,Frozen Senior plus CCTF simulation\1sen_seed36\checkpoints_non_comp\attacker\checkpoint_ep5000.pth,senior_junior_results\checkpoints_used_for_eval\1sen\seed36\ep5000\attacker_checkpoint_ep5000.pth,1Sen_Seed36_evaluated_Checkpoints(1).zip,1Sen_Seed36_evaluated_Checkpoints/attacker_checkpoint_ep5000.pth,34911931,34911931,True,a499fe02,51e7f3c49d4c3f54e91877c6f9c95e9cb6b19acafac7d7cbed4a23c5d72f7fc1,True,5000,True,0.95,31,31,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,2596458,"(51,)","(567,)","(567,)",22,1,True,4.576277732849121
1sen,36,5000,attacker_scout,Frozen Senior plus CCTF simulation\1sen_seed36\checkpoints_non_comp\attacker_scout\checkpoint_ep5000.pth,senior_junior_results\checkpoints_used_for_eval\1sen\seed36\ep5000\attacker_scout_checkpoint_ep5000.pth,1Sen_Seed36_evaluated_Checkpoints(1).zip,1Sen_Seed36_evaluated_Checkpoints/attacker_scout_checkpoint_ep5000.pth,34915963,34915963,True,741f4728,bd22ac69b8cfbae42923407301e8a07bfc881d2f33627b2f16544e9507805940,True,5000,True,0.95,31,31,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,2596714,"(51,)","(569,)","(569,)",22,1,True,4.522202491760254
1sen,37,100,attacker,Frozen Senior plus CCTF simulation\1sen_seed37\checkpoints_non_comp\attacker\checkpoint_ep100.pth,senior_junior_results\checkpoints_used_for_eval\1sen\seed37\ep100\attacker_checkpoint_ep100.pth,1Sen_Seed37_evaluated_Checkpoints(1).zip,1Sen_Seed37_evaluated_Checkpoints/attacker_checkpoint_ep100.pth,34911797,34911797,True,901db320,a84e19116a4c77e37a6fee21ac3e088575f753b235deaca015f16fc12160488a,True,100,True,0.95,31,31,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,2596458,"(51,)","(567,)","(567,)",22,1,True,4.453211784362793
1sen,37,100,attacker_scout,Frozen Senior plus CCTF simulation\1sen_seed37\checkpoints_non_comp\attacker_scout\checkpoint_ep100.pth,senior_junior_results\checkpoints_used_for_eval\1sen\seed37\ep100\attacker_scout_checkpoint_ep100.pth,1Sen_Seed37_evaluated_Checkpoints(1).zip,1Sen_Seed37_evaluated_Checkpoints/attacker_scout_checkpoint_ep100.pth,34915829,34915829,True,d71c6831,948d57cdbfb6cec822ccf15e2fb5416d1d3c961cbfeaf3a7c87a88113132c773,True,100,True,0.95,31,31,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,2596714,"(51,)","(569,)","(569,)",22,1,True,5.390109062194824
1sen,37,500,attacker,Frozen Senior plus CCTF simulation\1sen_seed37\checkpoints_non_comp\attacker\checkpoint_ep500.pth,senior_junior_results\checkpoints_used_for_eval\1sen\seed37\ep500\attacker_checkpoint_ep500.pth,1Sen_Seed37_evaluated_Checkpoints(1).zip,1Sen_Seed37_evaluated_Checkpoints/attacker_checkpoint_ep500.pth,34911797,34911797,True,65a3f008,c3bada7ed042459bbfac1ac061d2fc13704f93be9147df7f10f70d24e08797e3,True,500,True,0.95,31,31,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,2596458,"(51,)","(567,)","(567,)",22,1,True,4.90207052230835
1sen,37,500,attacker_scout,Frozen Senior plus CCTF simulation\1sen_seed37\checkpoints_non_comp\attacker_scout\checkpoint_ep500.pth,senior_junior_results\checkpoints_used_for_eval\1sen\seed37\ep500\attacker_scout_checkpoint_ep500.pth,1Sen_Seed37_evaluated_Checkpoints(1).zip,1Sen_Seed37_evaluated_Checkpoints/attacker_scout_checkpoint_ep500.pth,34915829,34915829,True,be22d216,118963831b356e983f254c09abb39d073418d65cfef81b53e52f2e9f3d51f081,True,500,True,0.95,31,31,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,2596714,"(51,)","(569,)","(569,)",22,1,True,4.623269557952881
1sen,37,1000,attacker,Frozen Senior plus CCTF simulation\1sen_seed37\checkpoints_non_comp\attacker\checkpoint_ep1000.pth,senior_junior_results\checkpoints_used_for_eval\1sen\seed37\ep1000\attacker_checkpoint_ep1000.pth,1Sen_Seed37_evaluated_Checkpoints(1).zip,1Sen_Seed37_evaluated_Checkpoints/attacker_checkpoint_ep1000.pth,34911931,34911931,True,1c63c3d8,428cb3d829cc0eacb2267e7b53f978c0c7d3c53f56801e78473a297f60c281a0,True,1000,True,0.95,31,31,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,2596458,"(51,)","(567,)","(567,)",22,1,True,4.867926597595215
1sen,37,1000,attacker_scout,Frozen Senior plus CCTF simulation\1sen_seed37\checkpoints_non_comp\attacker_scout\checkpoint_ep1000.pth,senior_junior_results\checkpoints_used_for_eval\1sen\seed37\ep1000\attacker_scout_checkpoint_ep1000.pth,1Sen_Seed37_evaluated_Checkpoints(1).zip,1Sen_Seed37_evaluated_Checkpoints/attacker_scout_checkpoint_ep1000.pth,34915963,34915963,True,1e7870c3,a9fc6c27d830dd052e8f688801fca10ce3285b6cf17603dbef41811bde67c6bb,True,1000,True,0.95,31,31,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,2596714,"(51,)","(569,)","(569,)",22,1,True,4.8225507736206055
1sen,37,2000,attacker,Frozen Senior plus CCTF simulation\1sen_seed37\checkpoints_non_comp\attacker\checkpoint_ep2000.pth,senior_junior_results\checkpoints_used_for_eval\1sen\seed37\ep2000\attacker_checkpoint_ep2000.pth,1Sen_Seed37_evaluated_Checkpoints(1).zip,1Sen_Seed37_evaluated_Checkpoints/attacker_checkpoint_ep2000.pth,34911931,34911931,True,05063652,90860252cde81ce98a3d0342564dda44271d4ca27c949d82f0c028be0bdce793,True,2000,True,0.95,31,31,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,2596458,"(51,)","(567,)","(567,)",22,1,True,4.917582511901856
1sen,37,2000,attacker_scout,Frozen Senior plus CCTF simulation\1sen_seed37\checkpoints_non_comp\attacker_scout\checkpoint_ep2000.pth,senior_junior_results\checkpoints_used_for_eval\1sen\seed37\ep2000\attacker_scout_checkpoint_ep2000.pth,1Sen_Seed37_evaluated_Checkpoints(1).zip,1Sen_Seed37_evaluated_Checkpoints/attacker_scout_checkpoint_ep2000.pth,34915963,34915963,True,5b437985,714ddd445ad49f1950c99c3d6e5ecad28aa4871069b3682cf2f9d9a652b898be,True,2000,True,0.95,31,31,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,2596714,"(51,)","(569,)","(569,)",22,1,True,4.740855693817139
1sen,37,5000,attacker,Frozen Senior plus CCTF simulation\1sen_seed37\checkpoints_non_comp\attacker\checkpoint_ep5000.pth,senior_junior_results\checkpoints_used_for_eval\1sen\seed37\ep5000\attacker_checkpoint_ep5000.pth,1Sen_Seed37_evaluated_Checkpoints(1).zip,1Sen_Seed37_evaluated_Checkpoints/attacker_checkpoint_ep5000.pth,34911931,34911931,True,ca162ed8,cbb53541cdd16c5fc0da9b250963d6e9b5f3f5e6f18dab61e3f2ba12195ff92d,True,5000,True,0.95,31,31,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,2596458,"(51,)","(567,)","(567,)",22,1,True,4.575896739959717
1sen,37,5000,attacker_scout,Frozen Senior plus CCTF simulation\1sen_seed37\checkpoints_non_comp\attacker_scout\checkpoint_ep5000.pth,senior_junior_results\checkpoints_used_for_eval\1sen\seed37\ep5000\attacker_scout_checkpoint_ep5000.pth,1Sen_Seed37_evaluated_Checkpoints(1).zip,1Sen_Seed37_evaluated_Checkpoints/attacker_scout_checkpoint_ep5000.pth,34915963,34915963,True,3fdcecaa,831da42a279dd502eae591eb927ee9368a674928fae07984805f403111c4791a,True,5000,True,0.95,31,31,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,2596714,"(51,)","(569,)","(569,)",22,1,True,4.630327224731445
1sen_shared,35,5000,frozen_senior_attacker,Frozen Senior plus CCTF simulation\senior_attacker_seed35_ep5000.pth,senior_junior_results\checkpoints_used_for_eval\frozen_senior_source\senior_attacker_seed35_ep5000.pth,frozen_senior_source(2).zip,frozen_senior_source/senior_attacker_seed35_ep5000.pth,34912933,34912933,True,c0adbef9,1d911ef85e25bc9f21d088530f220d3ccbbac169307c94ade84811555c23dbe5,True,5000,True,0.95,31,31,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,2596458,"(51,)","(567,)","(567,)",22,1,True,4.770806312561035
