condition,seed,checkpoint_episode,role,source,copied_to,archive,member,bytes,manifest_bytes,size_match,crc32,sha256,loads_ok,internal_episode_count,episode_count_match,gamma,model_state_keys,target_state_keys,architecture_signature,parameter_tensor_elements,support_shape,scaler_mean_shape,scaler_scale_shape,optimizer_state_entries,optimizer_param_groups,role_architecture_expected,max_model_target_abs_diff
0sen,36,100,attacker,Frozen Senior plus CCTF simulation\0sen_seed36\checkpoints_non_comp\attacker\checkpoint_ep100.pth,senior_junior_results\checkpoints_used_for_eval\0sen\seed36\ep100\attacker_checkpoint_ep100.pth,0Sen_Seed36_evaluated_Checkpoints(1).zip,0Sen_Seed36_evaluated_Checkpoints/attacker_checkpoint_ep100.pth,34911925,34911925,True,e29c2b87,52445679091be50ff5b5b2de254d7252de5325f9056ca2ec16685cd6060a781d,True,100,True,0.95,31,31,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,2596458,"(51,)","(567,)","(567,)",22,1,True,5.116300106048584
0sen,36,100,attacker_scout,Frozen Senior plus CCTF simulation\0sen_seed36\checkpoints_non_comp\attacker_scout\checkpoint_ep100.pth,senior_junior_results\checkpoints_used_for_eval\0sen\seed36\ep100\attacker_scout_checkpoint_ep100.pth,0Sen_Seed36_evaluated_Checkpoints(1).zip,0Sen_Seed36_evaluated_Checkpoints/attacker_scout_checkpoint_ep100.pth,34915829,34915829,True,cd55ab6b,58b15c3ea6fe989a8b3f1fdbf6c7eac8426280e4e49a4197aa5b5dce26858fbb,True,100,True,0.95,31,31,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,2596714,"(51,)","(569,)","(569,)",22,1,True,4.721487045288086
0sen,36,500,attacker,Frozen Senior plus CCTF simulation\0sen_seed36\checkpoints_non_comp\attacker\checkpoint_ep500.pth,senior_junior_results\checkpoints_used_for_eval\0sen\seed36\ep500\attacker_checkpoint_ep500.pth,0Sen_Seed36_evaluated_Checkpoints(1).zip,0Sen_Seed36_evaluated_Checkpoints/attacker_checkpoint_ep500.pth,34911925,34911925,True,76ddab35,c92869177e1e63f9d395c9815ce279b914f695c94063921f1bd0d236bde43515,True,500,True,0.95,31,31,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,2596458,"(51,)","(567,)","(567,)",22,1,True,5.09067440032959
0sen,36,500,attacker_scout,Frozen Senior plus CCTF simulation\0sen_seed36\checkpoints_non_comp\attacker_scout\checkpoint_ep500.pth,senior_junior_results\checkpoints_used_for_eval\0sen\seed36\ep500\attacker_scout_checkpoint_ep500.pth,0Sen_Seed36_evaluated_Checkpoints(1).zip,0Sen_Seed36_evaluated_Checkpoints/attacker_scout_checkpoint_ep500.pth,34915829,34915829,True,d9d430ad,71ddeaf16bf585e3c5dc773a80264dcf70b61403edf64901b26ab9f227dabccb,True,500,True,0.95,31,31,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,2596714,"(51,)","(569,)","(569,)",22,1,True,4.5623779296875
0sen,36,1000,attacker,Frozen Senior plus CCTF simulation\0sen_seed36\checkpoints_non_comp\attacker\checkpoint_ep1000.pth,senior_junior_results\checkpoints_used_for_eval\0sen\seed36\ep1000\attacker_checkpoint_ep1000.pth,0Sen_Seed36_evaluated_Checkpoints(1).zip,0Sen_Seed36_evaluated_Checkpoints/attacker_checkpoint_ep1000.pth,34912059,34912059,True,7d722ba6,e3f2a290609f0cd980728022b405778337c2cb45709ce406ccafc78ac0d0e519,True,1000,True,0.95,31,31,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,2596458,"(51,)","(567,)","(567,)",22,1,True,5.256244659423828
0sen,36,1000,attacker_scout,Frozen Senior plus CCTF simulation\0sen_seed36\checkpoints_non_comp\attacker_scout\checkpoint_ep1000.pth,senior_junior_results\checkpoints_used_for_eval\0sen\seed36\ep1000\attacker_scout_checkpoint_ep1000.pth,0Sen_Seed36_evaluated_Checkpoints(1).zip,0Sen_Seed36_evaluated_Checkpoints/attacker_scout_checkpoint_ep1000.pth,34915963,34915963,True,f16a6c08,cc007936fa0d1ebbcf91938f3e77c445bd1da39d77cf6167b5431088becee120,True,1000,True,0.95,31,31,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,2596714,"(51,)","(569,)","(569,)",22,1,True,4.728011608123779
0sen,36,2000,attacker,Frozen Senior plus CCTF simulation\0sen_seed36\checkpoints_non_comp\attacker\checkpoint_ep2000.pth,senior_junior_results\checkpoints_used_for_eval\0sen\seed36\ep2000\attacker_checkpoint_ep2000.pth,0Sen_Seed36_evaluated_Checkpoints(1).zip,0Sen_Seed36_evaluated_Checkpoints/attacker_checkpoint_ep2000.pth,34912059,34912059,True,a5bcfcde,5bc895ad1bef626ed3f8d82ae9d99c4dda2d10ef9c50e797fa340d559638cb97,True,2000,True,0.95,31,31,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,2596458,"(51,)","(567,)","(567,)",22,1,True,5.514455795288086
0sen,36,2000,attacker_scout,Frozen Senior plus CCTF simulation\0sen_seed36\checkpoints_non_comp\attacker_scout\checkpoint_ep2000.pth,senior_junior_results\checkpoints_used_for_eval\0sen\seed36\ep2000\attacker_scout_checkpoint_ep2000.pth,0Sen_Seed36_evaluated_Checkpoints(1).zip,0Sen_Seed36_evaluated_Checkpoints/attacker_scout_checkpoint_ep2000.pth,34915963,34915963,True,bc5fe458,ba2bd2da7c3c0a23babaf4cff20b2ff730bdd6cda2817490aab7e0af32b24e2e,True,2000,True,0.95,31,31,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,2596714,"(51,)","(569,)","(569,)",22,1,True,4.911136627197266
0sen,36,5000,attacker,Frozen Senior plus CCTF simulation\0sen_seed36\checkpoints_non_comp\attacker\checkpoint_ep5000.pth,senior_junior_results\checkpoints_used_for_eval\0sen\seed36\ep5000\attacker_checkpoint_ep5000.pth,0Sen_Seed36_evaluated_Checkpoints(1).zip,0Sen_Seed36_evaluated_Checkpoints/attacker_checkpoint_ep5000.pth,34912059,34912059,True,4f8a1c8d,e6fc813ca9dec73c6f2a6d280ee902b0b3df2c0805f2b0cdc189915d7cd2fdd9,True,5000,True,0.95,31,31,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,2596458,"(51,)","(567,)","(567,)",22,1,True,4.545470237731934
0sen,36,5000,attacker_scout,Frozen Senior plus CCTF simulation\0sen_seed36\checkpoints_non_comp\attacker_scout\checkpoint_ep5000.pth,senior_junior_results\checkpoints_used_for_eval\0sen\seed36\ep5000\attacker_scout_checkpoint_ep5000.pth,0Sen_Seed36_evaluated_Checkpoints(1).zip,0Sen_Seed36_evaluated_Checkpoints/attacker_scout_checkpoint_ep5000.pth,34915963,34915963,True,eb9817d9,de847cdd92a2ab195fcda322337354f2d5ab872364471dda99aa9c4ca4cb0b49,True,5000,True,0.95,31,31,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,2596714,"(51,)","(569,)","(569,)",22,1,True,4.943804740905762
